x,y
-38.551369,-3.741071
-38.551359,-3.74106
-38.55134,-3.741038
-38.55131,-3.741005
-38.551269,-3.740959
-38.551216,-3.7409
-38.551151,-3.740828
-38.551076,-3.740744
-38.550995,-3.740655
-38.550933,-3.740585
-38.550897,-3.740545
-38.550863,-3.74049
-38.550883,-3.740428
-38.550935,-3.740379
-38.551004,-3.740317
-38.551088,-3.740241
-38.551187,-3.740152
-38.551295,-3.740054
-38.551413,-3.739948
-38.55152,-3.739851
-38.5516,-3.739779
-38.55165,-3.739734
-38.551727,-3.739693
-38.551833,-3.739682
-38.551961,-3.739686
-38.5521,-3.739712
-38.552253,-3.739745
-38.552393,-3.739776
-38.552501,-3.739799
-38.55257,-3.739815
-38.552646,-3.739831
-38.552715,-3.739846
-38.552788,-3.739862
-38.55286,-3.739877
-38.552933,-3.739893
-38.553007,-3.739909
-38.553074,-3.739923
-38.553147,-3.739939
-38.553223,-3.739955
-38.553294,-3.73997
-38.553365,-3.739985
-38.553436,-3.740001
-38.553513,-3.740017
-38.55358,-3.740031
-38.55365,-3.740047
-38.553724,-3.740062
-38.553801,-3.740079
-38.553874,-3.740094
-38.55395,-3.740111
-38.554018,-3.740125
-38.554094,-3.74014
-38.554169,-3.740155
-38.554244,-3.740169
-38.554316,-3.740183
-38.554391,-3.740196
-38.554458,-3.740209
-38.554536,-3.740223
-38.554612,-3.740237
-38.554685,-3.74025
-38.554754,-3.740263
-38.554825,-3.740276
-38.5549,-3.74029
-38.554978,-3.740305
-38.555052,-3.740318
-38.555129,-3.740332
-38.555207,-3.740347
-38.555282,-3.740361
-38.555357,-3.740376
-38.555429,-3.740393
-38.555503,-3.74041
-38.555569,-3.740425
-38.55564,-3.740441
-38.555708,-3.740455
-38.555776,-3.740469
-38.555843,-3.740482
-38.55591,-3.740494
-38.55598,-3.740508
-38.556048,-3.74052
-38.556124,-3.740535
-38.556192,-3.740548
-38.556264,-3.740562
-38.556336,-3.740577
-38.556411,-3.740592
-38.556487,-3.740607
-38.556563,-3.740622
-38.556631,-3.740635
-38.556701,-3.740649
-38.55677,-3.740663
-38.556841,-3.740677
-38.556918,-3.740692
-38.556988,-3.740706
-38.557061,-3.740721
-38.557135,-3.740735
-38.557203,-3.740749
-38.557276,-3.740763
-38.557371,-3.740782
-38.557482,-3.740804
-38.557607,-3.740829
-38.557755,-3.740858
-38.557913,-3.740889
-38.558088,-3.740923
-38.558277,-3.740959
-38.558485,-3.741
-38.558688,-3.741041
-38.558892,-3.741084
-38.559096,-3.741127
-38.559302,-3.74117
-38.5595,-3.741211
-38.559705,-3.741254
-38.559903,-3.741295
-38.560101,-3.741336
-38.560262,-3.741369
-38.560383,-3.741394
-38.560464,-3.741411
-38.560508,-3.74142
-38.560571,-3.741433
-38.560656,-3.741451
-38.560754,-3.741471
-38.560863,-3.741494
-38.560993,-3.741521
-38.561145,-3.741552
-38.56131,-3.741587
-38.561436,-3.741613
-38.561523,-3.741631
-38.56157,-3.741641
-38.561636,-3.741646
-38.561683,-3.7416
-38.561702,-3.741506
-38.561724,-3.741396
-38.56178,-3.741271
-38.561799,-3.741178
-38.561812,-3.741114
-38.561817,-3.741086
-38.561818,-3.741084
-38.561818,-3.741082
-38.561818,-3.741082
-38.561818,-3.741082
-38.561793,-3.741062
-38.5618,-3.741031
-38.561811,-3.74098
-38.561825,-3.740912
-38.561844,-3.740826
-38.561895,-3.740726
-38.561921,-3.740607
-38.561951,-3.740469
-38.561985,-3.74031
-38.562025,-3.740132
-38.562068,-3.739937
-38.562113,-3.739729
-38.562156,-3.739522
-38.562198,-3.739323
-38.562239,-3.739126
-38.56228,-3.738927
-38.562323,-3.738721
-38.562358,-3.73855
-38.562386,-3.738416
-38.562406,-3.738318
-38.562419,-3.738253
-38.56244,-3.738205
-38.562488,-3.738205
-38.562557,-3.738219
-38.562646,-3.738238
-38.562752,-3.738259
-38.562871,-3.738284
-38.562993,-3.738309
-38.563121,-3.738336
-38.563245,-3.738362
-38.563344,-3.738382
-38.563403,-3.738394
-38.563473,-3.738409
-38.563564,-3.738427
-38.563668,-3.738449
-38.563796,-3.738475
-38.563918,-3.738501
-38.564045,-3.738527
-38.564171,-3.738553
-38.564296,-3.738579
-38.564416,-3.738604
-38.564544,-3.73863
-38.564672,-3.738657
-38.564798,-3.738683
-38.564919,-3.738707
-38.565042,-3.738733
-38.565164,-3.738758
-38.565285,-3.738783
-38.565405,-3.738808
-38.565527,-3.738833
-38.56565,-3.738859
